full_name,first_name,second_name,now_cost,team,element_type,total_points,pos,team_name,GF,GA,is_available,y_pred,y_pred_delta_1,y_pred_delta_2,y_pred_delta_3,y_pred_delta_4,y_pred_delta_5,y_pred_delta_6,y_pred_delta_7,y_pred_delta_8,y_pred_delta_9,y_pred_delta_10,y_pred_delta_11,y_pred_delta_12,y_pred_delta_13,y_pred_delta_14,y_pred_delta_15,y_pred_delta_16,y_pred_delta_17,y_pred_delta_18,picked_by,pick
Andrew_Robertson,Andrew,Robertson,45,19,2,55,DEF,Spurs,0,0,True,52.64709112876653,0.0,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ola_Aina,Ola,Aina,45,18,2,67,DEF,Nott'm Forest,0,0,True,52.64709112876653,0.0,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Sebastiaan_Bornauw,Sebastiaan,Bornauw,45,13,2,25,DEF,Leeds,0,0,True,52.64709112876653,27.78922124995421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kosta_Nedeljkovic,Kosta,Nedeljkovic,40,2,2,0,DEF,Aston Villa,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Andres_Garcia,Andrés,García,40,2,2,5,DEF,Aston Villa,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Julio_Soler_Barreto,Julio,Soler Barreto,40,3,2,3,DEF,Bournemouth,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bobby_Thomas,Bobby,Thomas,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jake_Bidwell,Jake,Bidwell,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
John_Egan,John,Egan,40,11,2,0,DEF,Hull City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kaine_Kesler_Hayden,Kaine,Kesler-Hayden,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Liam_Kitching,Liam,Kitching,40,7,2,0,DEF,Coventry City,0,0,True,24.857869878812323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
